cust_id,lookalikes
C0001,"[('C0071', 0.9999545215435364), ('C0113', 0.9997074277854961), ('C0184', 0.9982097937802533)]"
C0002,"[('C0134', 0.9999870784479704), ('C0159', 0.9872649950605883), ('C0060', 0.9610684177417653)]"
C0003,"[('C0052', 0.9998094195282273), ('C0191', 0.9993096884359942), ('C0129', 0.9989686012287866)]"
C0004,"[('C0108', 0.999915282375291), ('C0171', 0.9965321226875771), ('C0120', 0.9929386397445735)]"
C0005,"[('C0086', 0.9452518781432764), ('C0135', 0.9447243334192412), ('C0199', 0.9406567061838182)]"
C0006,"[('C0076', 0.9992221589798643), ('C0032', 0.9937656064742479), ('C0190', 0.9875206376340185)]"
C0007,"[('C0162', 0.9968924967296756), ('C0045', 0.9941628206357805), ('C0173', 0.9930546838384622)]"
C0008,"[('C0058', 0.9998229798122805), ('C0024', 0.9995859208850821), ('C0050', 0.9981531579951956)]"
C0009,"[('C0064', 0.9959577554756623), ('C0164', 0.9952963323941215), ('C0069', 0.9896761854145939)]"
C0010,"[('C0199', 0.9998641076142801), ('C0132', 0.9977091366607278), ('C0086', 0.993241022814716)]"
C0011,"[('C0174', 0.9988795535784609), ('C0095', 0.9946245528288401), ('C0025', 0.9828842682950246)]"
C0012,"[('C0187', 0.9999855692087236), ('C0195', 0.9990795011252673), ('C0048', 0.9956378013955037)]"
C0013,"[('C0129', 0.9991770163898589), ('C0191', 0.9988077417167897), ('C0003', 0.9963046874746976)]"
C0014,"[('C0044', 0.9997614315215277), ('C0081', 0.9876652955949328), ('C0182', 0.9793420117517707)]"
C0015,"[('C0183', 0.9953038041300858), ('C0047', 0.9835536627908261), ('C0067', 0.9762989526568043)]"
C0016,"[('C0185', 0.9931593997779072), ('C0059', 0.991136083206416), ('C0034', 0.9890964109554377)]"
C0017,"[('C0069', 0.9999967689001455), ('C0051', 0.9997949828846283), ('C0064', 0.9984091115125944)]"
C0018,"[('C0035', 0.999941568701246), ('C0098', 0.9994898595516185), ('C0117', 0.9979253051826323)]"
C0019,"[('C0149', 0.9999196504599713), ('C0141', 0.9982073136282212), ('C0061', 0.9971241947145728)]"
C0020,"[('C0194', 0.9987956449249574), ('C0026', 0.9987298162300932), ('C0047', 0.9942317885472247)]"
